time_s,irrigation_mm_h,ec_drip,n_drip,p_drip,k_drip
8580000.000000,0.000000000,0.900000004,0.008035483,0.006732782,0.009120690
8606400.000000,0.000000000,0.900000004,0.007987701,0.006711069,0.009042350
8632800.000000,0.000000000,0.900000004,0.008045345,0.006730428,0.009117443
8659200.000000,0.000000000,0.900000004,0.008124580,0.006748273,0.009172606
8685600.000000,0.000000000,0.900000004,0.008094450,0.006745505,0.009098421
8712000.000000,0.000000000,0.901667726,0.008020493,0.006714412,0.009017737
8738400.000000,0.000000000,0.901680888,0.008064097,0.006735959,0.009103107
8764800.000000,0.000000000,0.901680991,0.008000017,0.006716129,0.009026292
8791200.000000,0.000000000,0.901680992,0.007900046,0.006699356,0.008945043
8817600.000000,0.000000000,0.901680992,0.007997613,0.006781862,0.009089906
8844000.000000,0.000000000,0.901680992,0.008058435,0.006891005,0.009186525
8870400.000000,0.000000000,0.936035139,0.008046014,0.006957223,0.009193837
8896800.000000,0.000000000,0.923678301,0.007933793,0.006884818,0.009111393
8923200.000000,0.000000000,0.923580784,0.007791351,0.006735368,0.008983534
8949600.000000,0.000000000,0.901853820,0.007743413,0.006715628,0.008941172
8976000.000000,0.000000000,0.900347681,0.007782940,0.006726812,0.009019473
9002400.000000,0.000000000,0.900335795,0.007878900,0.006745773,0.009152678
9028800.000000,0.000000000,0.900335701,0.007867806,0.006730426,0.009077415
9055200.000000,0.000000000,0.900335700,0.007805237,0.006701218,0.008998696
9081600.000000,0.000000000,0.900335700,0.007869216,0.006733653,0.009094144
9108000.000000,0.000000000,0.900335700,0.007807525,0.006714179,0.009022408
9134400.000000,0.000000000,0.900335700,0.007710199,0.006687713,0.008925843
9160800.000000,0.000000000,0.909853692,0.007843311,0.006787296,0.009103994
9187200.000000,0.000000000,0.909928806,0.007825979,0.006732290,0.009104140
9213600.000000,0.000000000,0.900411407,0.007792292,0.006711473,0.009040115
9240000.000000,0.000000000,0.911024389,0.007949714,0.006814400,0.009222508
9266400.000000,0.000000000,0.911108144,0.007960693,0.006757985,0.009184961
9292800.000000,0.000000000,0.901755389,0.007926407,0.006739681,0.009094420
9319200.000000,0.000000000,0.911673474,0.008087243,0.006828856,0.009258421
9345600.000000,0.000000000,0.911751746,0.008092309,0.006763853,0.009192990
9372000.000000,0.000000000,0.911752363,0.008068656,0.006750417,0.009099057
9398400.000000,0.000000000,0.900425798,0.008016988,0.006721143,0.009018762
9424800.000000,0.000000000,0.900336411,0.008164229,0.006812798,0.009210672
9451200.000000,0.000000000,0.900335706,0.008239477,0.006914675,0.009285935
9477600.000000,0.000000000,0.938760750,0.008233305,0.006987893,0.009309856
9504000.000000,0.000000000,0.927178514,0.008163709,0.006918337,0.009263998
